,SongName,AlbumName,Date,Genre,LikeCnt,CommentCnt,Lyrics,Writers
0,라일락,IU 5th Album 'LILAC',2021.03.25,['댄스'],"154,396","1,717개",나리는 꽃가루에 눈이 따끔해 (아야)눈물이 고여도 꾹 참을래내 마음 한켠 비밀스런 오르골에 넣어두고서영원히 되감을 순간이니까 우리 둘의 마지막 페이지를 잘 부탁해어느 작별이 이보다 완벽할까Love me only till this spring오 라일락 꽃이 지는 날 good bye이런 결말이 어울려 안녕 꽃잎 같은 안녕하이얀 우리 봄날의 climax아 얼마나 기쁜 일이야Ooh ooh Love me only till this spring봄바람처럼Ooh ooh Love me only till this spring봄바람처럼기분이 달아 콧노래 부르네 (랄라)입꼬리는 살짝 올린 채어쩜 이렇게 하늘은 더 바람은 또 완벽한 건지오늘따라 내 모습 맘에 들어처음 만난 그날처럼 예쁘다고 말해줄래어느 이별이 이토록 달콤할까Love resembles misty dream오 라일락 꽃이 지는 날 good bye이런 결말이 어울려안녕 꽃잎 같은 안녕하이얀 우리 봄날의 climax아 얼마나 기쁜 일이야Ooh ooh Love resembles misty dream뜬구름처럼Ooh ooh Love resembles misty dream뜬구름처럼너도 언젠가 날 잊게 될까지금 표정과 오늘의 향기도단잠 사이에 스쳐간봄날의 꿈처럼오 라일락 꽃이 지는 날 good bye너의 대답이 날 울려안녕 약속 같은 안녕하이얀 우리 봄날에 climax아 얼마나 기쁜 일이야Ooh ooh Love me only untill this spring봄바람처럼Ooh ooh Love me only untill this spring봄바람처럼Ooh ooh Love resembles misty dream뜬구름처럼Ooh ooh Love resembles misty dream뜬구름처럼,"['Dr.JO', '아이유', '웅킴', '임수호', 'N!ko']"
1,내 손을 잡아,최고의 사랑 OST Part.4,2011.05.25,"['발라드', '국내드라마']","130,792",959개,"느낌이 오잖아 
떨리고 있잖아
언제까지 눈치만 볼 거니
네 맘을 말해봐 
딴청 피우지 말란 말이야
네 맘 가는 그대로 
지금 내 손을 잡아
어서 내 손을 잡아
우연히 고개를 돌릴 때 마다
눈이 마주치는 건
며칠 밤 내내 꿈속에 나타나
밤새 나를 괴롭히는 건
그 많은 빈자리 중에서 하필
내 옆자릴 고르는 건
나도 모르게 어느새 실없는 웃음
흘리고 있다는 건
그럼 말 다했지 뭐
우리 얘기 좀 할까
느낌이 오잖아 떨리고 있잖아
언제까지 눈치만 볼 거니
네 맘을 말해봐 
딴청 피우지 말란 말이야
네 맘 가는 그대로 
지금 내 손을 잡아
핸드폰 진동에 
심장이 덜컥내려 앉는다는 건
오 나도 모르게 
어느새 짓궂은 네 말투
자꾸 듣고 싶은걸
어떡해
저기 멀리 걸어온다
눈이 마주친다
언제까지 넌 모른척 할거니
사랑이 온거야 너와 나 말이야
네가 좋아 정말 못 견딜 만큼
그거면 된거야 
더는 생각하지 말란 말이야
네 맘 가는 그대로
느낌이 오잖아 떨리고 있잖아
언제까지 눈치만 볼 거니
네 맘을 말해봐 
딴청 피우지 말란 말이야
네 맘 가는 그대로 
지금 내 손을 잡아
그냥 내 손을 잡아
지금 내 손을 잡아","['G. 고릴라', '아이유']"
2,Celebrity,IU 5th Album 'LILAC',2021.03.25,['댄스'],"269,327","3,790개","세상의 모서리구부정하게 커버린골칫거리 outsider걸음걸이, 옷차림, 이어폰 너머 play list음악까지 다 minor넌 모르지떨군 고개 위환한 빛 조명이어딜 비추는지느려도 좋으니결국 알게 되길The one and only You are my celebrity잊지마 넌 흐린 어둠 사이왼손으로 그린 별 하나보이니 그 유일함이 얼마나아름다운지 말야You are my celebritycelebrityYou are my celebrity지쳐버린 표정 마치전원을 꺼놓은 듯이심장소린 too quiet네가 가진 반짝거림,상상력, identity까지 모조리 diet넌 모르지아직 못다 핀널 위해 쓰여진오래된 사랑시헤매도 좋으니웃음 짓게 되길The one and onlyYou are my celebrity잊지마 넌 흐린 어둠 사이왼손으로 그린 별 하나보이니 그 유일함이 얼마나아름다운지 말야You are my celebrity 발자국마다 이어진 별자리그 서투른 걸음이 새겨놓은 밑그림오롯이 너를 만나러 가는 길그리로 가면 돼 점선을 따라잊지마 이 오랜 겨울 사이언 틈으로 피울 꽃 하나보이니 하루 뒤 봄이 얼마나아름다울지 말야You are my celebritycelebrityYou are my celebrity","['아이유', 'Ryan S. Jhun', 'Jeppe London Bilsby', 'Lauritz Emil Christiansen', 'Chloe Latimer', 'Celine Svanback']"
3,Coin,IU 5th Album 'LILAC',2021.03.25,['R&B/Soul'],"70,270","1,034개","강자에게 더 세게 I love gamble과감할수록 신세계 on my tableI’m sorry 세상이 원래 불공평해So 더럽게 재미있지 Now I move I move I move I move I moveGo ahead I don’t look no look no look no look no lookWhat’s in my hand I said go Baby 알잖아 내가 한 번 미치면어디까지 가는지마지막 게임이니만큼후회 없는 실수를 저질러 I can’t die I’m all-inBorn to be gambler배운 적 없지 even no tutor최악의 패를 가지고 싹 쓸어한 수 배우고 싶음 더 예의 있게 굴어 승리를 손에 꽉 잡아 말아 쥐어Worth more than jewels저리 가서 놀아줘It’s no kids zone매경기 살벌하게난 목숨을 걸어 like a bullfight Go vamos vamos vamos vamos vamosGo ahead It’s new rule new rule new rule new rule new ruleWatch your back I said goBaby 알잖아 내가 지금 이 판에도대체 뭘 거는지마지막 betting이니만큼엉망으로 테이블을 어질러 I can’t die I’m all-in Queen, Nicely done. My bad you lose.구걸하지 않는 눈빛 우리 game의 ruleCome on, give it up. Wholly you lose.끝내줄게 그만 여기서 I can’t die I’m all-in (It’s my lastno game no more no more) I can’t die I’m all-in (It’s my lastno game no more no more)I can’t die I’m all-in","['Kako', 'Poptime', '아이유']"
4,밤편지,밤편지,2017.03.24,['발라드'],"408,922","2,411개",이 밤 그날의 반딧불을당신의 창 가까이 보낼게요음 사랑한다는 말이에요나 우리의 첫 입맞춤을 떠올려그럼 언제든 눈을 감고음 가장 먼 곳으로 가요난 파도가 머물던모래 위에 적힌 글씨처럼그대가 멀리 사라져 버릴 것 같아늘 그리워 그리워여기 내 마음속에모든 말을 다 꺼내어 줄 순 없지만사랑한다는 말이에요어떻게 나에게그대란 행운이 온 걸까지금 우리 함께 있다면 아얼마나 좋을까요난 파도가 머물던모래 위에 적힌 글씨처럼그대가 멀리 사라져 버릴 것 같아또 그리워 더 그리워나의 일기장 안에모든 말을 다 꺼내어 줄 순 없지만사랑한다는 말이 밤 그날의 반딧불을 당신의창 가까이 띄울게요음 좋은 꿈 이길 바라요,"['김희원', '제휘', '아이유']"
5,봄 사랑 벚꽃 말고,봄 사랑 벚꽃 말고,2014.04.08,['발라드'],"205,763",346개,길었던 겨우내 줄곧 품이 좀 남는밤색 코트그 속에 나를 쏙 감추고 걸음을재촉해 걸었어그런데 사람들 말이 너만 아직도왜 그러니그제서야 둘러보니 어느새 봄이손 잡고 걸을 사람 하나 없는 내게달콤한 봄바람이 너무해나만 빼고 다 사랑에 빠져봄노래를 부르고꽃잎이 피어나 눈 앞에 살랑거려도난 다른 얘기가 듣고 싶어한바탕 휩쓸고 지나가버릴오오 봄 사랑 벚꽃 말고봄 사랑 벚꽃 말고봄 사랑 벚꽃 말고봄 사랑 벚꽃 말고손에 닿지도 않을 말로날 꿈틀거리게 하지 말어맘 먹고 밖에 나가도막상 뭐 별 거 있나손 잡고 걸을 사람 하나 없는 내게오 사랑노래들이 너무해나만 빼고 다 사랑에 빠져봄노래를 부르고꽃잎이 피어나 눈 앞에 살랑거려도난 다른 얘기가 듣고 싶어한바탕 휩쓸고 지나가버릴오오 봄 사랑 벚꽃 말고남들보다 절실한 사랑 노래 가사를불러 봐수많은 연인들 가운데 왜 나는혼자만똑같은 거리와 어제와 같은 옷차림난 제자린데 왜 세상은 변한 것만같지누군가와 봄길을 거닐고 할 필욘없지만누구나 한번쯤은 머물고 싶은 그런기억을만들고 싶어 떨어지는 벚꽃잎도엔딩이 아닌 봄의 시작이듯사실은 요즘 옛날 생각이 나걷기만 해도 그리워지니까다시 느낄 수 있나 궁금해지지만Then you know what나만 빼고 다 사랑에 빠져봄노래를 부르고꽃잎이 피어나 눈 앞에 살랑거려도난 다른 얘기가 듣고 싶어한바탕 휩쓸고 지나가버릴오오 봄 사랑 벚꽃 말고봄 사랑 벚꽃 말고봄 사랑 벚꽃 말고봄 사랑 벚꽃 말고봄 사랑 벚꽃 말고,"['이종훈', '이채규', '아이유']"
6,Blueming,Love poem,2019.11.18,['록/메탈'],"300,819","2,677개","‘뭐해?‘라는 두 글자에‘네가 보고 싶어’ 나의 속마음을 담아 우이모티콘 하나하나 속에달라지는 내 미묘한 심리를 알까 우아니 바쁘지 않아 nothing no no 잠들어 있지 않아 insomnia nia nia지금 다른 사람과 함께이지 않아응, 나도 너를 생각 중우리의 네모 칸은 bloom엄지손가락으로 장미꽃을 피워 향기에 취할 것 같아 우오직 둘만의 비밀의 정원I feel bloom I feel bloom I feel bloom너에게 한 송이를 더 보내밤샘 작업으로 업데이트흥미로운 이 작품의 지은이 that’s me 우어쩜 이 관계의 클라이맥스2막으로 넘어가기엔 지금이 good timing 우같은 맘인 걸 알아 realize la lize말을 고르지 말아 just reply la la ly조금 장난스러운 나의 은유에네 해석이 궁금해 우리의 색은 gray and blue 엄지손가락으로 말풍선을 띄워금세 터질 것 같아 우호흡이 가빠져 어지러워I feel blue. I feel blue. I feel blue.너에게 가득히 채워 띄어쓰기없이보낼게사랑인것같애백만송이장미꽃을, 나랑피워볼래?꽃잎의 색은 우리 마음 가는 대로 칠해시들 때도 예쁘게우리의 네모 칸은 bloom엄지손가락으로 장미꽃을 피워 향기에 취할 것 같아 우오직 둘만의 비밀의 정원I feel bloom I feel bloom I feel bloom너에게 한 송이를 더 보내","['이종훈', '이채규', '아이유']"
7,Love poem,Love poem,2019.11.01,['록/메탈'],"296,079","2,959개","누구를 위해 누군가 기도하고 있나 봐숨죽여 쓴 사랑시가낮게 들리는 듯해너에게로 선명히 날아가늦지 않게 자리에 닿기를I’ll be there 홀로 걷는 너의 뒤에Singing till the end 그치지 않을 이 노래아주 잠시만 귀 기울여 봐유난히 긴 밤을 걷는 널 위해 부를게또 한 번 너의 세상에별이 지고 있나 봐 숨죽여 삼킨 눈물이여기 흐르는 듯해할 말을 잃어 고요한 마음에기억처럼 들려오는 목소리I’ll be there 홀로 걷는 너의 뒤에Singing till the end 그치지 않을 이 노래아주 커다란 숨을 쉬어 봐소리 내 우는 법을 잊은 널 위해 부를게(다시 걸어갈 수 있도록) 부를게(다시 사랑할 수 있도록)Here i am 지켜봐 나를, 난 절대Singing till the end 멈추지 않아 이 노래 너의 긴 밤이 끝나는 그날 고개를 들어 바라본 그곳에 있을게","['적재', '이종훈', '홍소진', '아이유']"
8,하루 끝,스무 살의 봄,2012.05.11,['댄스'],"151,896",358개,Monday Better day처음처럼 설레이는 그런 날Sunday Better day종일 너만 생각하는 그런 날욕심이 나우리 사이 요만큼만 더 가까이딱 한 발짝 그만큼 더 가까이혼잣말이 속삭임이너도 궁금할 순 있잖아네가 좋아서 그래나 차가운 척 표정 짓고 있지만내 마음은 그게 아닌데 거짓말인데바보 같은 네가 난 답답해너무 좋아서 그래나 시무룩한 얼굴하고 있지만또 기다리다 고민만 하다흘러가는 하루 끝에서 하는 말내가 널 사랑해One day Holiday혼자 있긴 너무너무 싫은 날One day Cloudy day울 것처럼 하늘도 찌푸린 날눈물이 와 서글픈 내 맘을 닮은 눈물이 와꾹 참았다 쏟아지는 내 맘이 온 하늘에 온 세상에그저 슬픈 건 아닐 거야네가 좋아서 그래나 차가운 척 표정 짓고 있지만내 마음은 그게 아닌데 거짓말인데바보 같은 네가 난 답답해너무 좋아서 그래나 시무룩한 얼굴하고 있지만또 기다리다 고민만 하다흘러가는 하루 끝에서 하는 말내가 널 사랑해내 입술엔 거짓말내 눈 속엔 정말 하고픈 말맘속에 숨어 있는 말많이 좋아서 그래뒤돌아서 느려진 발걸음을 봐널 기다리는 맘인 거잖아 날 지켜본 너라면 알잖아내가 몰라서 그래네 마음이 들리게 내게 말해줘손 내밀면 될 것 같은데망설이는 이유가 나와 같다면이제 다가와 줘,"['김도훈 (RBW)', '김이나', '박근태']"
9,에잇(Prod.&Feat. SUGA of BTS),에잇,2020.05.06,['록/메탈'],"352,981","10,672개",So are you happy nowFinally happy now are you뭐 그대로야 난 다 잃어버린 것 같아  모든 게 맘대로 왔다가 인사도 없이 떠나이대로는 무엇도 사랑하고 싶지 않아 다 해질 대로 해져버린기억 속을 여행해 우리는 오렌지 태양 아래그림자 없이 함께 춤을 춰정해진 이별 따위는 없어 아름다웠던 그 기억에서 만나 Forever young 우우우 우우우우  우우우 우우우우Forever we young 우우우 우우우우이런 악몽이라면 영영 깨지 않을게 섬 그래 여긴 섬 서로가 만든 작은 섬예 음 forever young 영원이란 말은 모래성작별은 마치 재난문자 같지그리움과 같이 맞이하는 아침서로가 이 영겁을 지나 꼭 이 섬에서 다시 만나지나듯 날 위로하던 누구의 말대로 고작한 뼘짜리 추억을 잊는 게 참 쉽지 않아시간이 지나도 여전히날 붙드는 그곳에 우리는 오렌지 태양 아래그림자 없이 함께 춤을 춰정해진 안녕 따위는 없어 아름다웠던 그 기억에서 만나 우리는 서로를 베고 누워슬프지 않은 이야기를 나눠우울한 결말 따위는 없어난 영원히 널 이 기억에서 만나 Forever young 우우우 우우우우  우우우 우우우우Forever we young우우우 우우우우이런 악몽이라면 영영 깨지 않을게,"['EL CAPITXN', 'SUGA', '아이유']"
